Song,Lyrics,emotion_label,emotion_explanation
بيوحشنا,"['ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله']",Nostalgia,"**Nostalgia/Longing:** The lyrics repeatedly emphasize missing someone (""بيوحشنا"" - we miss him/her), being preoccupied with them (""شاغلنا"" - occupies our mind), and their image being ever-present (""ملازمنا خياله وطيفه"" - his/her image and apparition are always with us). These sentiments point towards a strong feeling of nostalgia and longing for a person and their presence. The references to long nights and loving them night after night further emphasize this feeling."
معرفش حد بالأسم ده,"['اعرفش', 'بالاسم', 'انا', 'تاه', 'عقله', 'ولقاه', 'اعرفش', 'بالاسم', 'موهوم', 'بقي', 'وربك', 'هداه', 'هعتبره', 'وقت', 'فراغ', 'وفات', 'او', 'انا', 'اتسليت', 'معاه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'بقي', 'الاولي', 'اكيد', 'انساه', 'انا', 'همشي', 'وابعد', 'سكات', 'انا', 'حر', 'اسموش', 'هروب', 'شافش', 'اي', 'مميزات', 'بالعكس', 'لعيوب', 'جايز', 'سوء', 'اختيار', 'جايز', 'تكفير', 'ذنوب', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه']",Mixed,"**Resignation/Acceptance:** The lyrics express a sense of letting go and moving on from a relationship. Phrases like ""I will forget him for sure,"" ""He left nothing behind,"" and ""I'll walk away silently"" suggest acceptance of the situation and a determination to move forward, despite any lingering pain. There is a lack of strong emotional outbursts and more of a subdued but resolute feeling."
ظبط مودها,"['تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'مجنناني', 'ثواني', 'بوصل', 'بمودها', 'للخيال', 'مودها', 'الحنين', 'يهوس', 'يجنن', 'وبقول', 'علي', 'الجمال', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تلاقيها', 'اتغزل', 'كلام', 'يبقي', 'بعينيك', 'دلع', 'جمالها', 'بتجاملها', 'الليالي', 'هتبقي', 'ليك', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده']",Love,"**Love/Adoration:** The lyrics express a strong sense of infatuation and a desire to please the object of affection. The singer encourages fulfilling their desires and dreams (""اطلب حتي عينيها تاخدها"" - Ask, even for her eyes to take them), highlighting the beauty and charm of the beloved, and emphasizing the effort made to keep her happy and in a good mood (""تظبط مودها"" - Adjust her mood)."
سلامك وصلي,"['سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'انا', 'نسيتكش', 'كلام', 'كتير', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'انا', 'نسيتكش', 'كلام', 'كتير', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'انت', 'ازاي', 'الاول', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'اما', 'بلوم', 'نسيت', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'انت', 'ازاي', 'الاول', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'اما', 'بلوم', 'نسيت', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير']",Love,"**Nostalgia/Love with elements of Hope**

The lyrics express a longing for someone (""I miss you, you miss me""), reminiscing about a past connection (""our story is passing completely before my eyes""). There's also hope for reconciliation (""I'll listen to my heart and come to you"") and continued affection (""You'll always have a big place in my heart""). The overall tone suggests a fond remembrance and a desire to rekindle a relationship."
واخدين راحتهم,"['واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'داخلين', 'حياتي', 'حسسوني', 'اني', 'ضيف', 'وبيطلبوا', 'طلبات', 'وفاكرينها', 'ببلاش', 'اعرفه', 'ان', 'الصح', 'يبقي', 'الضيف', 'خفيف', 'وحساب', 'هيدفعه', 'ڤيزا', 'كاش', 'مالهمش', 'دور', 'حياتي', 'اصلا', 'شفافين', 'وتحسهم', 'يعني', 'راضين', 'كمان', 'محتاجين', 'حاجه', 'قولوا', 'بقي', 'مكسوفين', 'انتوا', 'صحاب', 'مكان', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه']",Mixed,"**Annoyance/Frustration:** The lyrics express the feeling of being invaded or taken advantage of. The singer feels that people are overstaying their welcome and treating their heart/life like it's their own, while also feeling the need to keep them happy despite this."
مكانك,"['عارف', 'سنه', 'وانا', 'جنبك', 'بحلم', 'يجي', 'نبقي', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'صوره', 'رسمتها', 'ليك', 'وصاحبتها', 'قصه', 'حبنا', 'خيالي', 'عشتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'ياما', 'شغلتني', 'ياما', 'وحشتني', 'واتعلقت', 'بيك', 'قابلتني', 'شافت', 'حلمها', 'والصوره', 'الليله', 'جيت', 'كملتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا']",Love,"Love: The lyrics express feelings of dreaming about being with someone, imagining their heart, drawing a picture of them, and living a love story in their imagination. There are also mentions of missing and being attached to them."
لوحدنا,"['شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'لوحدنا', 'لوحدنا', 'والدنيا', 'انت', 'وانا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'موجود', 'موجود', 'احنا', 'خيالنا', 'خدنا', 'لبعيد', 'حبيبي', 'عيش', 'وسيبنا', 'المود', 'لوحدنا', 'لوحدنا', 'والدنيا', 'انت', 'وانا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي']",Love,"**Love**

The lyrics repeatedly use the word ""Habibi"" (my love) and talk about being alone together and living a thousand nights, indicating a strong feeling of love and intimacy."
الكلام ليك,"['الكلام', 'ليك', 'انت', 'انت', 'انت', 'اه', 'بحبك', 'انت', 'انت', 'انت', 'اختياري', 'وشاري', 'انا', 'شاري', 'رضاك', 'الدلع', 'ليك', 'انت', 'انت', 'انت', 'خدت', 'بالك', 'انت', 'انت', 'انت', 'انت', 'غالي', 'غالي', 'وبالي', 'معاك', 'الكلام', 'ليك', 'انت', 'انت', 'انت', 'اه', 'بحبك', 'انت', 'انت', 'انت', 'اختياري', 'وشاري', 'انا', 'شاري', 'رضاك', 'الدلع', 'ليك', 'انت', 'انت', 'انت', 'خدت', 'بالك', 'انت', 'انت', 'انت', 'انت', 'غالي', 'غالي', 'وبالي', 'معاك', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'لمره', 'مره', 'مره', 'تعترفلي', 'مره', 'مره', 'مره', 'وتقول', 'حبيبي', 'حبيبي', 'بصوتك', 'ياه', 'قول', 'روحي', 'يلا', 'يلا', 'يلا', 'قول', 'خلي', 'خلي', 'عقلي', 'واهتمامي', 'وروحي', 'وقلبي', 'معاه', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب']",Love,"Love.

The lyrics express deep affection and adoration for the person being addressed. Phrases like ""بحبك"" (I love you), ""اختياري وشاري"" (my choice and I'm buying [your affection]), ""غالي غالي"" (precious, precious), ""اغلي حب"" (most precious love), and ""احن قلب"" (kindest heart) clearly indicate a dominant emotion of love. The desire for reciprocation (""تعترفلي وتقول حبيبي"" - confess to me and say 'my darling') further reinforces this."
ما تتعوضش,"['بعترف', 'ان', 'انت', 'تتعوضش', 'انا', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'علي', 'القد', 'بعترف', 'ان', 'انت', 'تتعوضش', 'انا', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'علي', 'القد', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'افتي', 'ان', 'النسيان', 'بالوقت', 'سايبك', 'امتي', 'وياما', 'اشتقت', 'وان', 'بخبي', 'قلبي', 'عذابي', 'بقيتش', 'خلاص', 'اقدر', 'دلوقت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت']",Love,"Nostalgia. The lyrics express a longing for a past love and a recognition that the person is irreplaceable, despite attempts to move on."
مابتغيبش,"['انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اسمك', 'قدامي', 'اتقال', 'بيحرك', 'قلبي', 'الحال', 'شوف', 'امتي', 'واحنا', 'بعاد', 'الاحساس', 'زال', 'حبيبي', 'سيرتك', 'تتجاب', 'واشوف', 'كلامهم', 'اعجاب', 'انا', 'بفرح', 'قلبي', 'واغير', 'حبيبي', 'الاسباب', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اوعي', 'فاكر', 'اني', 'نسيت', 'قسيت', 'استغنيت', 'انا', 'عمري', 'حبيت', 'عمري', 'غنيت', 'خد', 'بالك', 'طول', 'انت', 'بعيد', 'حياه', 'جد', 'جديد', 'الشوق', 'بيزيد', 'شاغلني', 'الاوقات', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا']",Love,"**Nostalgia and Longing**

The lyrics express a strong feeling of longing and nostalgia for a loved one who is absent. The singer is constantly thinking about them (""انت بتغيبش بتغيبش البال ثانية""), misses them dearly (""غيابك حبيبي""), and tries to hide their longing from others (""فبحاول اخبي يبانش الشوق عينيا""). They also reminisce about the past and affirm that they haven't forgotten their love."
