Song,Lyrics,sentiment_label,sentiment_explanation
بيوحشنا,"['ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله']",Mixed,"**Sentiment: Mixed**

Explanation: The lyrics express a longing and missing (""بيوحشنا"") someone, indicating sadness. However, there's also an acknowledgment of love (""احب"", ""عشقناه"") and the idea of being preoccupied by this person (""شاغلنا""), suggesting a complex mix of emotions, hence ""mixed"". The phrase ""الليل طال"" (the night has grown long) also suggests a yearning."
معرفش حد بالأسم ده,"['اعرفش', 'بالاسم', 'انا', 'تاه', 'عقله', 'ولقاه', 'اعرفش', 'بالاسم', 'موهوم', 'بقي', 'وربك', 'هداه', 'هعتبره', 'وقت', 'فراغ', 'وفات', 'او', 'انا', 'اتسليت', 'معاه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'بقي', 'الاولي', 'اكيد', 'انساه', 'انا', 'همشي', 'وابعد', 'سكات', 'انا', 'حر', 'اسموش', 'هروب', 'شافش', 'اي', 'مميزات', 'بالعكس', 'لعيوب', 'جايز', 'سوء', 'اختيار', 'جايز', 'تكفير', 'ذنوب', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه']",Negative,"**Negative**

The lyrics express feelings of dismissal, moving on from a relationship, and seeing the other person's flaws. Phrases like ""I will forget him for sure,"" ""he didn't leave anything to be kept between us,"" ""he didn't see any advantages, only disadvantages,"" and ""maybe it was a bad choice"" all contribute to a negative sentiment."
ظبط مودها,"['تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'مجنناني', 'ثواني', 'بوصل', 'بمودها', 'للخيال', 'مودها', 'الحنين', 'يهوس', 'يجنن', 'وبقول', 'علي', 'الجمال', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تلاقيها', 'اتغزل', 'كلام', 'يبقي', 'بعينيك', 'دلع', 'جمالها', 'بتجاملها', 'الليالي', 'هتبقي', 'ليك', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده']",Positive,"**Positive**

The lyrics express admiration and affection. Phrases like ""تظبط مودها"" (adjust her mood), ""اطلب حتي عينيها تاخدها"" (ask, even take her eyes), ""واحلم اوي بزياده"" (dream a lot, excessively), ""مجنناني"" (driving me crazy), ""للخيال"" (to the imagination), ""علي الجمال"" (about the beauty), ""اتغزل"" (I'm being romantic), ""دلع"" (spoiling), and ""جمالها بتجاملها الليالي"" (the nights flatter her beauty) all convey positive feelings and attraction. The lyrics encourage fulfilling her desires and celebrating her beauty, emphasizing a positive and loving sentiment."
سلامك وصلي,"['سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'انا', 'نسيتكش', 'كلام', 'كتير', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'انا', 'نسيتكش', 'كلام', 'كتير', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'انت', 'ازاي', 'الاول', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'اما', 'بلوم', 'نسيت', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'انت', 'ازاي', 'الاول', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'اما', 'بلوم', 'نسيت', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير']",Positive,"**Positive**

Explanation: The lyrics express feelings of longing and affection. Phrases like ""واحشك"" (I miss you), ""واحشني"" (You miss me), ""قلبي مكان كبير"" (My heart is a big place for you), ""دنيتي الحلوه جايه"" (My sweet world is coming), and ""حبيبي"" (My beloved) indicate a strong positive sentiment and a desire for reconciliation. The speaker is happy to receive communication and intends to follow their heart."
واخدين راحتهم,"['واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'داخلين', 'حياتي', 'حسسوني', 'اني', 'ضيف', 'وبيطلبوا', 'طلبات', 'وفاكرينها', 'ببلاش', 'اعرفه', 'ان', 'الصح', 'يبقي', 'الضيف', 'خفيف', 'وحساب', 'هيدفعه', 'ڤيزا', 'كاش', 'مالهمش', 'دور', 'حياتي', 'اصلا', 'شفافين', 'وتحسهم', 'يعني', 'راضين', 'كمان', 'محتاجين', 'حاجه', 'قولوا', 'بقي', 'مكسوفين', 'انتوا', 'صحاب', 'مكان', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه']",Mixed,"**Mixed**

The lyrics express conflicting emotions. While the singer hopes the people ""living in their heart"" are happy (""اتمني يبقوا مبسوطين""), they also feel exploited (""قلبي مربعين وبييعصروه""), treated like a guest in their own life (""حسسوني اني ضيف""), and taken advantage of (""وبيطلبوا طلبات وفاكرينها ببلاش""). There's a sarcastic tone when saying they seem satisfied and asking if they need anything else. This combination of wishing them well but feeling resentful creates a mixed sentiment."
مكانك,"['عارف', 'سنه', 'وانا', 'جنبك', 'بحلم', 'يجي', 'نبقي', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'صوره', 'رسمتها', 'ليك', 'وصاحبتها', 'قصه', 'حبنا', 'خيالي', 'عشتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'ياما', 'شغلتني', 'ياما', 'وحشتني', 'واتعلقت', 'بيك', 'قابلتني', 'شافت', 'حلمها', 'والصوره', 'الليله', 'جيت', 'كملتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا']",Positive,"**Positive**

The lyrics express feelings of love, dreaming, longing, and fulfillment. Words like ""حبيت"" (loved), ""بحلم"" (dreaming), ""اتملي"" (fulfilled), ""وحشتني"" (missed me), and ""قصه حبنا"" (our love story) clearly indicate a positive sentiment."
لوحدنا,"['شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'لوحدنا', 'لوحدنا', 'والدنيا', 'انت', 'وانا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'موجود', 'موجود', 'احنا', 'خيالنا', 'خدنا', 'لبعيد', 'حبيبي', 'عيش', 'وسيبنا', 'المود', 'لوحدنا', 'لوحدنا', 'والدنيا', 'انت', 'وانا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي']",Positive,"**Positive**

The lyrics express feelings of love, intimacy, and being carefree with a loved one (""Habibi,"" ""between us tonight,"" ""we will live tonight,"" ""alone, you and I""). The repeated mentions of ""Habibi"" and living the night together suggest a joyful and passionate experience. The phrase ""A thousand nights"" further amplifies the feeling of a special and long-lasting connection."
الكلام ليك,"['الكلام', 'ليك', 'انت', 'انت', 'انت', 'اه', 'بحبك', 'انت', 'انت', 'انت', 'اختياري', 'وشاري', 'انا', 'شاري', 'رضاك', 'الدلع', 'ليك', 'انت', 'انت', 'انت', 'خدت', 'بالك', 'انت', 'انت', 'انت', 'انت', 'غالي', 'غالي', 'وبالي', 'معاك', 'الكلام', 'ليك', 'انت', 'انت', 'انت', 'اه', 'بحبك', 'انت', 'انت', 'انت', 'اختياري', 'وشاري', 'انا', 'شاري', 'رضاك', 'الدلع', 'ليك', 'انت', 'انت', 'انت', 'خدت', 'بالك', 'انت', 'انت', 'انت', 'انت', 'غالي', 'غالي', 'وبالي', 'معاك', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'لمره', 'مره', 'مره', 'تعترفلي', 'مره', 'مره', 'مره', 'وتقول', 'حبيبي', 'حبيبي', 'بصوتك', 'ياه', 'قول', 'روحي', 'يلا', 'يلا', 'يلا', 'قول', 'خلي', 'خلي', 'عقلي', 'واهتمامي', 'وروحي', 'وقلبي', 'معاه', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب']",Positive,"**Positive**

The lyrics express strong feelings of love and affection. Words like ""بحبك"" (I love you), ""اختياري"" (my choice), ""شاري رضاك"" (buying your satisfaction), ""غالي"" (precious), ""اغلي حب"" (most precious love), and ""احن قلب"" (kindest heart) clearly indicate a positive sentiment. The repetition emphasizes these feelings and adds to the overall positive tone."
ما تتعوضش,"['بعترف', 'ان', 'انت', 'تتعوضش', 'انا', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'علي', 'القد', 'بعترف', 'ان', 'انت', 'تتعوضش', 'انا', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'علي', 'القد', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'افتي', 'ان', 'النسيان', 'بالوقت', 'سايبك', 'امتي', 'وياما', 'اشتقت', 'وان', 'بخبي', 'قلبي', 'عذابي', 'بقيتش', 'خلاص', 'اقدر', 'دلوقت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت']",Positive,"**Mixed**

The lyrics express a confession (""بعترف"") about the irreplaceable nature of a past love (""انت تتعوضش""). There is acknowledgment of genuine love experienced (""حب بجد"") and an inability to connect with others after the separation. The lyrics also reveal lingering pain and longing (""اشتقت"", ""عذابي"", ""نسيتش""), contradicting any claims of having moved on. Therefore, it's a mix of positive remembrance of the past love and negative feelings related to the separation and inability to forget."
مابتغيبش,"['انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اسمك', 'قدامي', 'اتقال', 'بيحرك', 'قلبي', 'الحال', 'شوف', 'امتي', 'واحنا', 'بعاد', 'الاحساس', 'زال', 'حبيبي', 'سيرتك', 'تتجاب', 'واشوف', 'كلامهم', 'اعجاب', 'انا', 'بفرح', 'قلبي', 'واغير', 'حبيبي', 'الاسباب', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اوعي', 'فاكر', 'اني', 'نسيت', 'قسيت', 'استغنيت', 'انا', 'عمري', 'حبيت', 'عمري', 'غنيت', 'خد', 'بالك', 'طول', 'انت', 'بعيد', 'حياه', 'جد', 'جديد', 'الشوق', 'بيزيد', 'شاغلني', 'الاوقات', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا']",Positive,"**Sentiment: Mixed**

Explanation: The lyrics express a longing for a loved one who is absent (""غيابك حبيبي"" - ""your absence, my love""). This absence causes a need to hide the emotions (""فبحاول اخبي"" - ""So I try to hide"") from others. However, the mention of joy when the loved one is mentioned (""انا بفرح قلبي"" - ""I rejoice my heart"") and the increasing longing (""الشوق بيزيد"" - ""The longing increases"") suggest a bittersweet sentiment. It is not purely negative due to the positive feelings still present, but also not purely positive due to the pain of separation."
