Year,Composer,Lyricist,Song,Lyrics
2023,محمد أحمد فؤاد,تامر حسين,بيوحشنا,"ملازمنا، ملازمنا خياله وطيفه فين ما نروح
ملازمنا اكمنه حبيب الروح بالروح
لالالا أحب غيره مش مسموح
ملازمنا، ملازمنا خياله وطيفه فين ما نروح
ملازمنا اكمنه حبيب الروح بالروح
لالالا أحب غيره مش مسموح
بيوحشنا، بيوحشنا، بيوحشنا رؤياه
بيوحشنا، بيوحشنا، بيوحشنا والله
يا با ليلة ورا ليلة خلاّنا عشقناه
ياما الليل طال، الليل طال
ياما النور هل معاه
ياما الليل طال ياما النور هل معاه
ياما الليل، الليل طال ياما النور هل معاه
بيوحشنا، بيوحشنا، بيوحشنا رؤياه
بيوحشنا، بيوحشنا، بيوحشنا والله
يا شاغلنا، يا شاغلنا تعالى اطمن ع الأحوال
وطمنا إن كنا بنيجي ساعات ع البال
فيها حاجة إن كنت ترد الشوق بسؤال
يا شاغلنا، يا شاغلنا تعالى اطمن ع الأحوال
وطمنا إن كنا بنيجي ساعات ع البال
فيها حاجة إن كنت ترد الشوق بسؤال
بيوحشنا، بيوحشنا، بيوحشنا رؤياه
بيوحشنا، بيوحشنا، بيوحشنا والله
يا با ليلة ورا ليلة خلاّنا عشقناه
ياما الليل طال، الليل طال
ياما النور هل معاه
ياما الليل طال ياما النور هل معاه
ياما الليل، الليل طال ياما النور هل معاه
بيوحشنا، بيوحشنا، بيوحشنا رؤياه
بيوحشنا، بيوحشنا، بيوحشنا والله"
2023,أحمد إبراهيم,أيمن بهجت قمر,معرفش حد بالأسم ده,"ما أعرفش حد بالإسم دا
أنا اللي تاه عقله ولقاه
ما أعرفش حد بالإسم دا
موهوم بقى وربك هداه
هعتبره وقت فراغ وفات
أو حد أنا إتسليت معاه
قولوله ما خرجتش يعني من الجنة
ما سابليش حاجة تتشال من اللي كان بينا
ما سابليش حاجة هتخليني أستناه
بقى الأولى أكيد أنساه
قولوله ما خرجتش يعني من الجنة
ما سابليش حاجة تتشال من اللي كان بينا
بقى الأولى أكيد أنساه
أنا همشي وأبعد من سكات
أنا حر ودا ما إسموش هروب
دا ما شافش أي مميزات
بالعكس حولها لعيوب
جايز دا كان سوء إختيار
جايز دا كان تكفير ذنوب
قولوله ما خرجتش يعني من الجنة
ما سابليش حاجة تتشال من اللي كان بينا
ما سابليش حاجة هتخليني أستناه
بقى الأولى أكيد أنساه
قولوله ما خرجتش يعني من الجنة
ما سابليش حاجة تتشال من اللي كان بينا
ما سابليش حاجة هتخليني أستناه
بقى الأولى أكيد أنساه
قولوله ما خرجتش يعني من الجنة
ما سابليش حاجة تتشال من اللي كان بينا
ما سابليش حاجة هتخليني أستناه
بقى الأولى أكيد أنساه"
2023,محمد يحيي,بهاء الدين محمد,ظبط مودها,"لما تظبط مودها
أطلب حتى عينيها تاخدها
وأؤمر وإحلم أوي بزيادة
بس لو إنت لما تقل مزاجها
مش هتشوف وقت ما تحتاجها
إلا الوش السادة
لما تظبط مودها
أطلب حتى عينيها تاخدها
وأؤمر وإحلم أوي بزيادة
بس لو إنت لما تقل مزاجها
مش هتشوف وقت ما تحتاجها
إلا الوش السادة

دي مجنناني
بس في ثواني
بوصل بمودها للخيال
مودها الحنين
يهوس يجنن
وبقول يا عيني على الجمال

لما تظبط مودها
أطلب حتى عينيها تاخدها
وأؤمر وإحلم أوي بزيادة
بس لو إنت لما تقل مزاجها
مش هتشوف وقت ما تحتاجها
إلا الوش السادة

لما تلاقيها
إتغزل فيها
لو مش كلام يبقى بعينيك
دلع جمالها
لو بتجاملها
كل الليالي هتبقى ليك

لما تظبط مودها
أطلب حتى عينيها تاخدها
وأؤمر وإحلم أوي بزيادة
بس لو إنت لما تقل مزاجها
مش هتشوف وقت ما تحتاجها
إلا الوش السادة
لما تظبط مودها
أطلب حتى عينيها تاخدها
وأؤمر وإحلم أوي بزيادة
بس لو إنت لما تقل مزاجها
مش هتشوف وقت ما تحتاجها
إلا الوش السادة

لما تظبط مودها
أطلب حتى عينيها تاخدها
وأؤمر وإحلم أوي بزيادة
بس لو إنت لما تقل مزاجها
مش هتشوف وقت ما تحتاجها
إلا الوش السادة"
2023,محمد يحيي,محمد القاياتي,سلامك وصلي,"سلامك وصلي
وأتاريني واحشك زي ما إنت واحشني يا اللي
كنت وهتفضل ليك في قلبي مكان كبير
سلامك وصلي
وأكيد حصلك بعدي نفس اللي حصلي
أنا ما نسيتكش ولسه عندي كلام كتير
سلامك وصلي
وأتاريني واحشك زي ما إنت واحشني يا اللي
كنت وهتفضل ليك في قلبي مكان كبير
سلامك وصلي
وأكيد حصلك بعدي نفس اللي حصلي
أنا ما نسيتكش ولسه عندي كلام كتير

أنا مش كفاية عليا أردلك السلام
هسمع كلام قلبي وهاخد بعضي وهجيلك
وأنا حضني ليك هو اللي هيقول الكلام
في حاجات كتير يا حبيبي لازم تتحكيلك
أنا مش كفاية عليا أردلك السلام
هسمع كلام قلبي وهاخد بعضي وهجيلك
وأنا حضني ليك هو اللي هيقول الكلام
في حاجات كتير يا حبيبي لازم تتحكيلك


سلامك وصلي
وأتاريني واحشك زي ما إنت واحشني يا اللي
كنت وهتفضل ليك في قلبي مكان كبير

سؤالك عليا
خلى حكايتنا تعدي كاملة قصاد عينيا
هو إنت كنت إزاي من الأول مشيت
سؤالك عليا
خلاني شايف دنيتي الحلوة اللي جاية
بعد أما كنت بلوم عليك لا تكون نسيت
سؤالك عليا
خلى حكايتنا تعدي كاملة قصاد عينيا
هو إنت كنت إزاي من الأول مشيت
سؤالك عليا
خلاني شايف دنيتي الحلوة اللي جاية
بعد أما كنت بلوم عليك لا تكون نسيت

أنا مش كفاية عليا أردلك السلام
هسمع كلام قلبي وهاخد بعضي وهجيلك
وأنا حضني ليك هو اللي هيقول الكلام
في حاجات كتير يا حبيبي لازم تتحكيلك
أنا مش كفاية عليا أردلك السلام
هسمع كلام قلبي وهاخد بعضي وهجيلك
وأنا حضني ليك هو اللي هيقول الكلام
في حاجات كتير يا حبيبي لازم تتحكيلك

سلامك وصلي
وأتاريني واحشك زي ما إنت واحشني يا اللي
كنت وهتفضل ليك في قلبي مكان كبير"
2023,محمد يحيي,محمد البوغة,واخدين راحتهم,"واخذين راحتهم قاعدين في قلبي مربعين وبيعصروه
وكإنه بيتهم يا رب بس يكون عجبهم الڤيو
عايشين حياتهم أتمنى بعد ده كله يبقوا مبسوطين
في حاجة ناقصة، في حاجة ناقصة ولا ننزل بالجاتوه
واخذين راحتهم قاعدين في قلبي مربعين وبيعصروه
وكإنه بيتهم يا رب بس يكون عجبهم الڤيو
عايشين حياتهم أتمنى بعد ده كله يبقوا مبسوطين
في حاجة ناقصة، في حاجة ناقصة ولا ننزل بالجاتوه
داخلين حياتي حسسوني إني ضيف
وبيطلبوا في طلبات وفاكرينها ببلاش
واللي أعرفه إن الصح يبقى الضيف خفيف
وحساب ده كله هيدفعه ڤيزا ولا كاش
مالهمش دور في حياتي أصلاً شفافين
وتحسهم قال يعني مش راضيين كمان
لو محتاجين حاجة قولوا لي بقى مكسوفين
من العين دي قبل العين دي ده انتوا صحاب مكان
واخذين راحتهم قاعدين في قلبي مربعين وبيعصروه
وكإنه بيتهم يا رب بس يكون عجبهم الڤيو
عايشين حياتهم أتمنى بعد ده كله يبقوا مبسوطين
في حاجة ناقصة، في حاجة ناقصة ولا ننزل بالجاتوه"
2023,عمرو دياب,تامر حسين,مكانك,"عارف كام سنة
وأنا جنبك هنا
بحلم يجي يوم
نبقى لبعضنا

لا مكانك إتملى
ولا يوم حبيت ولا
أتخيل قلبي أنا مع غيرك يا أنا

صورة رسمتها ليك وصاحبتها
قصه حبنا
في خيالي عشتها


لا مكانك إتملى
ولا يوم حبيت ولا
أتخيل قلبي أنا مع غيرك يا أنا
لا مكانك إتملى
ولا يوم حبيت ولا
أتخيل قلبي أنا مع غيرك يا أنا

ياما شغلتني، ياما وحشتني
وإتعلقت بيك لما قابلتني
عيني فتحتها
شافت حلمها
والصورة الليلة دي
جيت كملتها

لا مكانك إتملى
ولا يوم حبيت ولا
أتخيل قلبي أنا مع غيرك يا أنا
لا مكانك إتملى
ولا يوم حبيت ولا
أتخيل قلبي أنا مع غيرك يا أنا"
2023,عمرو دياب,تامر حسين,لوحدنا,"ولا شاغلنا ناس ومين قال
ولا هاممنا مهما يتقال
ولا شاغلنا ناس ومين قال
ولا هاممنا مهما يتقال

لوحدنا لوحدنا
والدنيا دي إنت وأنا
لوحدنا لوحدنا
لوحدنا وملكنا لوحدنا

حبيبي
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي، حبيبي
بألف ليلة
هنعيش الليلة الليلة
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي، حبيبي

هو فيه حد غيرنا موجود
ولا فيه حد غيرنا موجود
إحنا خيالنا خدنا لبعيد
حبيبي عيش وسيبنا في المود

لوحدنا لوحدنا
والدنيا دي إنت وأنا
لوحدنا لوحدنا
لوحدنا وملكنا لوحدنا

حبيبي
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي
بألف ليلة
هنعيش الليلة الليلة
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي، حبيبي
بألف ليلة
هنعيش الليلة الليلة
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي، حبيبي

حبيبي
بينا الليلة يا حبيبي
بينا الليلة يا حبيبي
حبيبي، حبيبي"
2023,محمد قماح,تامر حسين,الكلام ليك,"الكلام ليك إنت، إنت إنت
آه بحبك إنت، إنت إنت
هو دا إختياري وشاري
أنا شاري رضاك
الدلع ليك إنت، إنت إنت
خدت بالك إنت، إنت إنت
إنت عندي غالي يا غالي وبالي معاك
الكلام ليك إنت، إنت إنت
آه بحبك إنت، إنت إنت
هو دا إختياري وشاري
أنا شاري رضاك
الدلع ليك إنت، إنت إنت
خدت بالك إنت، إنت إنت
إنت عندي غالي يا غالي وبالي معاك

أنا أحب أحب أحب
أحب أقول
إن إنت أغلى حب، يا ريت يطول
وإنك أحن قلب في كل دول
أنا أحب أحب أحب
أحب أقول
إن إنت أغلى حب، يا ريت يطول
وإنك أحن قلب في كل دول

نفسي لو لمرة، مرة مرة
تعترفلي مرة، مرة مرة
وتقول يا حبيبي حبيبي بصوتك، يااااه
قول يا روحي يلا، يلا يلا
قول مين اللي خلى، اللي خلى
عقلي وإهتمامي وروحي وقلبي معاه

أنا أحب أحب أحب
أحب أقول
إن إنت أغلى حب، يا ريت يطول
وإنك أحن قلب في كل دول
أنا أحب أحب أحب
أحب أقول
إن إنت أغلى حب، يا ريت يطول
وإنك أحن قلب في كل دول"
2023,عزيز الشافعي,تامر حسين,ما تتعوضش,"بعترف إن إنت ما تتعوضش بحد
واللي أنا حسيته معاك كان حب بجد
وقابلت كتير وعرفت ناس بعديك
بعاملهم غرب وكلام على القد
بعترف إن إنت ما تتعوضش بحد
واللي أنا حسيته معاك كان حب بجد
وقابلت كتير وعرفت ناس بعديك
بعاملهم غرب وكلام على القد

بعترف إن إنت حبيبي
مش كنت حبيبي
لا دا إنت ما زلت
وكفاية بعدنا كفاية
فرقت معايا
ما نسيتش، حاولت
بعترف إن إنت حبيبي
مش كنت حبيبي
لا دا إنت ما زلت
وكفاية بعدنا كفاية
فرقت معايا
ما نسيتش، حاولت

مين أفتى وقال إن النسيان بالوقت
سايبك من إمتى وياما إشتقت
وإن كنت بخبي في قلبي عذابي عليك
ما بقيتش خلاص أقدر دلوقت

بعترف إن إنت حبيبي
مش كنت حبيبي
لا دا إنت ما زلت
وكفاية بعدنا كفاية
فرقت معايا
ما نسيتش، حاولت
بعترف إن إنت حبيبي
مش كنت حبيبي
لا دا إنت ما زلت
وكفاية بعدنا كفاية
فرقت معايا
ما نسيتش، حاولت
بعترف إن إنت حبيبي
مش كنت حبيبي
لا دا إنت ما زلت
وكفاية بعدنا كفاية
فرقت معايا
ما نسيتش، حاولت"
2023,عزيز الشافعي,عزيز الشافعي,مابتغيبش,"إنت ما بتغيبش ما بتغيبش عن البال ولا ثانية
يمكن ما بجيبش كتير سيرتك بس دي حاجة تانية
من بعد غيابك يا حبيبي عيونهم حواليا
فبحاول أخبي علشان ما يبانش الشوق في عينيا
إنت ما بتغيبش ما بتغيبش عن البال ولا ثانية
يمكن ما بجيبش كتير سيرتك بس دي حاجة تانية
من بعد غيابك يا حبيبي عيونهم حواليا
فبحاول أخبي علشان ما يبانش الشوق في عينيا

إسمك قدامي لو إتقال
بيحرك قلبي في الحال
شوف من إمتى وإحنا بعاد
بس الإحساس لسه ما زال
يا حبيبي لو سيرتك تتجاب
وأشوف في كلامهم إعجاب
دا أنا بفرح من قلبي وأغير
يا حبيبي لنفس الأسباب

دا إنت ما بتغيبش ما بتغيبش عن البال ولا ثانية
يمكن ما بجيبش كتير سيرتك بس دي حاجة تانية حاجة تانية
من بعد غيابك يا حبيبي عيونهم حواليا
فبحاول أخبي علشان ما يبانش الشوق في عينيا

إوعى تكون فاكر إني نسيت
ولا قسيت ولا إستغنيت
دا أنا غيرك عمري ما حبيت
ولغيرك عمري ما غنيت
خد بالك طول ما إنت بعيد
في حياة ولا جد جديد
يمكن بس الشوق بيزيد
يا شاغلني في كل الأوقات

دا إنت ما بتغيبش ما بتغيبش عن البال ولا ثانية
يمكن ما بجيبش كتير سيرتك بس دي حاجة تانية حاجة تانية
من بعد غيابك يا حبيبي عيونهم حواليا
فبحاول أخبي علشان ما يبانش الشوق في عينيا"
