Year,Composer,Lyricist,Song,Lyrics,Decade,Composer_first_name,Composer_last_name,Lyricist_first_name,Lyricist_last_name
2023,محمد أحمد فؤاد,تامر حسين,بيوحشنا,"['ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ترد', 'الشوق', 'بسؤال', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ترد', 'الشوق', 'بسؤال', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله']",Early 2020s,محمد,أحمد فؤاد,تامر,حسين
2023,أحمد إبراهيم,أيمن بهجت قمر,معرفش حد بالأسم ده,"['اعرفش', 'بالاسم', 'تاه', 'عقله', 'ولقاه', 'اعرفش', 'بالاسم', 'موهوم', 'بقي', 'وربك', 'هداه', 'هعتبره', 'وقت', 'فراغ', 'وفات', 'اتسليت', 'معاه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'بقي', 'اكيد', 'انساه', 'همشي', 'وابعد', 'سكات', 'حر', 'اسموش', 'هروب', 'شافش', 'مميزات', 'بالعكس', 'لعيوب', 'جايز', 'سوء', 'اختيار', 'جايز', 'تكفير', 'ذنوب', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'اكيد', 'انساه']",Early 2020s,أحمد,إبراهيم,أيمن,بهجت قمر
2023,محمد يحيي,بهاء الدين محمد,ظبط مودها,"['تظبط', 'مودها', 'اطلب', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'بزياده', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'بزياده', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الوش', 'الساده', 'مجنناني', 'ثواني', 'بوصل', 'بمودها', 'للخيال', 'مودها', 'الحنين', 'يهوس', 'يجنن', 'وبقول', 'الجمال', 'تظبط', 'مودها', 'اطلب', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'بزياده', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الوش', 'الساده', 'تلاقيها', 'اتغزل', 'كلام', 'يبقي', 'بعينيك', 'دلع', 'جمالها', 'بتجاملها', 'الليالي', 'هتبقي', 'ليك', 'تظبط', 'مودها', 'اطلب', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'بزياده', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'بزياده', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'بزياده', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الوش', 'الساده']",Early 2020s,محمد,يحيي,بهاء,الدين محمد
2023,محمد يحيي,محمد القاياتي,سلامك وصلي,"['سلامك', 'وصلي', 'واتاريني', 'واحشك', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'نسيتكش', 'كلام', 'كتير', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'نسيتكش', 'كلام', 'كتير', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'بلوم', 'نسيت', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'بلوم', 'نسيت', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير']",Early 2020s,محمد,يحيي,محمد,القاياتي
2023,محمد يحيي,محمد البوغة,واخدين راحتهم,"['واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'داخلين', 'حياتي', 'حسسوني', 'ضيف', 'وبيطلبوا', 'طلبات', 'وفاكرينها', 'ببلاش', 'اعرفه', 'الصح', 'يبقي', 'الضيف', 'خفيف', 'وحساب', 'هيدفعه', 'ڤيزا', 'كاش', 'مالهمش', 'دور', 'حياتي', 'شفافين', 'وتحسهم', 'يعني', 'راضين', 'كمان', 'محتاجين', 'حاجه', 'قولوا', 'بقي', 'مكسوفين', 'انتوا', 'صحاب', 'مكان', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه']",Early 2020s,محمد,يحيي,محمد,البوغة
2023,عمرو دياب,تامر حسين,مكانك,"['عارف', 'جنبك', 'بحلم', 'يجي', 'نبقي', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'صوره', 'رسمتها', 'ليك', 'وصاحبتها', 'قصه', 'حبنا', 'خيالي', 'عشتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'ياما', 'شغلتني', 'ياما', 'وحشتني', 'واتعلقت', 'بيك', 'قابلتني', 'شافت', 'حلمها', 'والصوره', 'الليله', 'جيت', 'كملتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'اتملي', 'حبيت', 'اتخيل', 'قلبي']",Early 2020s,عمرو,دياب,تامر,حسين
2023,عمرو دياب,تامر حسين,لوحدنا,"['شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'لوحدنا', 'لوحدنا', 'والدنيا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'موجود', 'موجود', 'خيالنا', 'خدنا', 'لبعيد', 'حبيبي', 'عيش', 'وسيبنا', 'المود', 'لوحدنا', 'لوحدنا', 'والدنيا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي']",Early 2020s,عمرو,دياب,تامر,حسين
2023,محمد قماح,تامر حسين,الكلام ليك,"['الكلام', 'ليك', 'بحبك', 'اختياري', 'وشاري', 'شاري', 'رضاك', 'الدلع', 'ليك', 'خدت', 'بالك', 'غالي', 'غالي', 'وبالي', 'معاك', 'الكلام', 'ليك', 'بحبك', 'اختياري', 'وشاري', 'شاري', 'رضاك', 'الدلع', 'ليك', 'خدت', 'بالك', 'غالي', 'غالي', 'وبالي', 'معاك', 'احب', 'احب', 'احب', 'احب', 'اقول', 'اغلي', 'حب', 'ريت', 'يطول', 'احن', 'قلب', 'احب', 'احب', 'احب', 'احب', 'اقول', 'اغلي', 'حب', 'ريت', 'يطول', 'احن', 'قلب', 'لمره', 'تعترفلي', 'وتقول', 'حبيبي', 'حبيبي', 'بصوتك', 'ياه', 'قول', 'روحي', 'يلا', 'يلا', 'يلا', 'قول', 'خلي', 'خلي', 'عقلي', 'واهتمامي', 'وروحي', 'وقلبي', 'معاه', 'احب', 'احب', 'احب', 'احب', 'اقول', 'اغلي', 'حب', 'ريت', 'يطول', 'احن', 'قلب', 'احب', 'احب', 'احب', 'احب', 'اقول', 'اغلي', 'حب', 'ريت', 'يطول', 'احن', 'قلب']",Early 2020s,محمد,قماح,تامر,حسين
2023,عزيز الشافعي,تامر حسين,ما تتعوضش,"['بعترف', 'تتعوضش', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'القد', 'بعترف', 'تتعوضش', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'القد', 'بعترف', 'حبيبي', 'حبيبي', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'حبيبي', 'حبيبي', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'افتي', 'النسيان', 'بالوقت', 'سايبك', 'امتي', 'وياما', 'اشتقت', 'بخبي', 'قلبي', 'عذابي', 'بقيتش', 'خلاص', 'اقدر', 'دلوقت', 'بعترف', 'حبيبي', 'حبيبي', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'حبيبي', 'حبيبي', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'حبيبي', 'حبيبي', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت']",Early 2020s,عزيز,الشافعي,تامر,حسين
2023,عزيز الشافعي,عزيز الشافعي,مابتغيبش,"['بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اسمك', 'قدامي', 'اتقال', 'بيحرك', 'قلبي', 'الحال', 'شوف', 'امتي', 'واحنا', 'بعاد', 'الاحساس', 'زال', 'حبيبي', 'سيرتك', 'تتجاب', 'واشوف', 'كلامهم', 'اعجاب', 'بفرح', 'قلبي', 'واغير', 'حبيبي', 'الاسباب', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اوعي', 'فاكر', 'نسيت', 'قسيت', 'استغنيت', 'عمري', 'حبيت', 'عمري', 'غنيت', 'خد', 'بالك', 'طول', 'بعيد', 'حياه', 'جد', 'جديد', 'الشوق', 'بيزيد', 'شاغلني', 'الاوقات', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا']",Early 2020s,عزيز,الشافعي,عزيز,الشافعي
