Decade,Song,Lyrics,years,part
Early 1980s,أحضان الجبل,"في يوم والشمس طالعة بألوانها الرقيقة ولمستها الدهب
همسك إيدك وهأخدك لبيت أبيض صغير في أحضان الجبل
البيت دا فيه إتولدت، على بابه كبرت
وإتعلمت إني أغني أول غنوة دافية زي شمسنا
زي قلوب الصبايا اللي في حينا
والألوان البريئة على أبواب بيوتنا
على الجدران بتحكي إن الكون إتولد
في بيت مصري صغير في أحضان الجبل

ضوء الفجر خافت بيرسم المعاني
من بعد ليل طويل
والنيل أمواجه تصحى وتحكي ذكرياتها
من الأشجار للنخيل
وأنا الطفل الصغير لكن بسمع وأفكر
حسيت في كل لحظة إني حاضر وذكرى
وجزء من المكان ده وإني مش وحيد

وفي يوم والشمس طالعة بألوانها الرقيقة ولمستها الدهب
همسك إيدك وهأخدك لبيت أبيض صغير في أحضان الجبل

الزمن راكع هناك بيهمس للجمال
ما يكون حجر، إتكلم يا حبيبي
لكن صمته الجميل سنين ورا سنين
وجيل من بعد جيل فضل حي في ملامحي
في ضميري في إبتسامتي في نظرتي لبكرة وحبي للحياة

وفي يوم والشمس طالعة بألوانها الرقيقة ولمستها الدهب
همسك إيدك وهأخدك لبيت أبيض صغير في أحضان الجبل
البيت دا فيه إتولدت، على بابه كبرت
وإتعلمت إني أغني أول غنوة دافية زي شمسنا
زي قلوب الصبايا اللي في حينا
والألوان البريئة على أبواب بيوتنا
على الجدران بتحكي إن الكون إتولد
في بيت مصري صغير في أحضان الجبل",1980,0
Early 1980s,يا طريق يا طريق,"يا طريق يا طريق، ماشين يا طريق
بقلوب عطشانة أمل وسلام
نفسنا في هواك ننسى اللي راح
كداب كداب اللي يقول تاب
لو قضى العمر معاك في عذاب
يا طريق يا طريق، ماشين يا طريق

أسامينا مزروعة فيك، قناديل في سما لياليك
أسامينا مزروعة فيك، قناديل في سما لياليك
من صغرنا عايشين بيك، نعشق ونحن إليك
نفرح لما نلاقيك ونقولك أهلاً بيك
يا طريق يا طريق، ماشين يا طريق

يا طريق يا طريق، ماشين يا طريق
بقلوب عطشانة أمل وسلام
نفسنا في هواك ننسى اللي راح
كداب كداب اللي يقول تاب
لو قضى العمر معاك في عذاب
يا طريق يا طريق، ماشين يا طريق

دقينا فيك أبواب وفارقنا فيك أصحاب
دقينا فيك أبواب وفارقنا فيك أصحاب
طول عمرنا ملك إيديك نقرا الأحزان في عينيك
ونروح وبنرجع ليك ونقولك أهلاً بيك
يا طريق يا طريق، ماشين يا طريق

يا طريق يا طريق، ماشين يا طريق
بقلوب عطشانة أمل وسلام
نفسنا في هواك ننسى اللي راح
كداب كداب اللي يقول تاب
لو قضى العمر معاك في عذاب
يا طريق يا طريق، ماشين يا طريق

مكتوبة عليك خطوتنا والناس وإنت حقيقتنا
مكتوبة عليك خطوتنا والناس وإنت حقيقتنا
من عشقنا فيك بندوب وقلوب بتتوه
وقلوب عايشة العمر تناديك وتقولك أهلاً بيك
يا طريق يا طريق، ماشين يا طريق

يا طريق يا طريق، ماشين يا طريق
بقلوب عطشانة أمل وسلام
نفسنا في هواك ننسى اللي راح
كداب كداب اللي يقول تاب
لو قضى العمر معاك في عذاب
يا طريق يا طريق، ماشين يا طريق
يا طريق يا طريق، ماشين يا طريق
بقلوب عطشانة أمل وسلام
نفسنا في هواك ننسى اللي راح
كداب كداب اللي يقول تاب
لو قضى العمر معاك في عذاب
يا طريق يا طريق، ماشين يا طريق",1980,0
Early 1980s,المدينة,"المدينة قلبها زحمة بالهموم
والعيون تايهة بتدارى في الغيوم
المدينة قلبها زحمة بالهموم
والعيون تايهة بتدارى في الغيوم
مين يهمه إلا همه
مين بيصرخ غير لألمه
غابت كل يوم غربت كل يوم

المطر باعت معاه دموع الندم
بكرة تشتي على الزحام
الزحام يبقى فضا
والدموع ساعتها نشحت كل ندم
على الحكايات اللي ضاعوا
اللي ضاعوا في المدى
المطر باعت معاه دموع الندم
بكرة تشتي على الزحام
الزحام يبقى فضا
والدموع ساعتها نشحت كل ندم
على الحكايات اللي ضاعوا
اللي ضاعوا في المدى

حبيبتي المدينة متاهة بشر
شوارع حزينة، بقايا صور
حبيبتي المدينة في رياح القدر
وحيدة مسكينة بتداري الخطر
حبيبتي المدينة متاهة بشر
شوارع حزينة، بقايا صور
حبيبتي المدينة في رياح القدر
وحيدة مسكينة بتداري الخطر

المدينة قلبها زحمة بالهموم
والعيون تايهة بتدارى في الغيوم
المدينة قلبها زحمة بالهموم
والعيون تايهة بتدارى في الغيوم
مين يهمه إلا همه
مين بيصرخ غير لألمه
غابت كل يوم غربت كل يوم
غابت كل يوم غربت كل يوم",1980,0
Early 1980s,بحب الحياة,"بحبك لأنك عيون الحياة
بشوف بيكي أملي اللي كان إنتهى
بحبك لأنك في آخر ندا
لقيتك في قلبي بتروي صباه
ساعات يا حبيبتي ياخدني خيالي
وأفكر في حالي من غيرك إنتي

لمين يا حبيبتي هكمل حياتي
دا أنا أمنياتي إتبنت بيكي إنتي
بحبك لأنك وهبتي بحبك لقلبي مناه
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة

بفكر في أسرع طريق للقى
في رحلة حياتنا اللي هتكون لنا
بفكر في أسرع طريق للقى
في رحلة حياتنا اللي هتكون لنا
هتبقي معايا في صبحي ومسايا الجميلة الرقيقة
هنبقى أنا وإنتي في عالم سعيد
في صمته وجنونه وأمله العنيد
هنبقى أنا وإنتي في عالم سعيد
في صمته وجنونه وأمله العنيد

أكيد يا حبيبتي هكمل حياتي
دا أنا أمنياتي إتبنت بيكي إنتي
أكيد يا حبيبتي هكمل حياتي
دا أنا أمنياتي إتبنت بيكي إنتي
بحبك لأنك وهبتي بحبك لقلبي مناه
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة

بقيتي الحياة اللي جاية لنا
هتبقى دي أحلى سنين عمرنا
بقيتي الحياة اللي جاية لنا
هتبقى دي أحلى سنين عمرنا
وجودك معايا هيبقى البداية الحقيقة الجميلة
هكون ليكي دايماً ومهما يكون
دا إنتي الوحيدة اللي ليكي هكون
هكون ليكي دايماً ومهما يكون
دا إنتي الوحيدة اللي ليكي هكون

أكيد يا حبيبتي هكمل حياتي
دا أنا أمنياتي إتبنت بيكي إنتي
أكيد يا حبيبتي هكمل حياتي
دا أنا أمنياتي إتبنت بيكي إنتي
بحبك لأنك وهبتي بحبك لقلبي مناه
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة
بقيت يا حبيبتي بحب الحياة",1980,0
Early 1980s,أحلى دنيا,"إمتى نشوف البسمة الحلوة
مالية شفايف كل الناس
إمتى نشارك بعض في غنوة
غالية ونملى الكون إخلاص
إمتى نعيش من غير أحزان
إمتى نشوف القسوة حنان
أحلى يا دنيا تكوني أمان
والقى الناس بتحب الناس
أحلى دنيا

ليه في قلوبكوا أمان وشكوك
خلوا الورد وشيلوا الشوك
عمر الحب ما عاش في قساوة
لا بتنسى وعينيك بتبوح
ليه في قلوبكوا أمان وشكوك
خلوا الورد وشيلوا الشوك
عمر الحب ما عاش في قساوة
لا بتنسى وعينيك بتبوح

إمتى نعيش من غير أحزان
إمتى نشوف القسوة حنان
أحلى يا دنيا تكوني أمان
والقى الناس بتحب الناس
أحلى دنيا

غنوا أغاني الحب الصافية
ياما الحب بيشفي جراح
ما أحلى الغنوة الحلوة الدافية
لو قدامها أمل وبراح
غنوا أغاني الحب الصافية
ياما الحب بيشفي جراح
ما أحلى الغنوة الحلوة الدافية
لو قدامها أمل وبراح

إمتى نعيش من غير أحزان
إمتى نشوف القسوة حنان
أحلى يا دنيا تكوني أمان
والقى الناس بتحب الناس
أحلى دنيا، أحلى دنيا، أحلى دنيا، أحلى دنيا، أحلى دنيا",1980,0
Early 1980s,نور يا ليل,"نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
إحنا بنصفح وإنت بتجرح
زي ما قالوا عليك دوار
زي ما قالوا عليك دوار

فتح يا شجر الأحلام
قد ما بتدور الأيام
فتح يا شجر الأحلام
قد ما بتدور الأيام
فتح وإطرح نفسنا نفرح
دا المشوار جنة على نار

نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
إحنا بنصفح وإنت بتجرح
زي ما قالوا عليك دوار
زي ما قالوا عليك دوار

روق يا بحر العشاق
بتسافر فيكي الأشواق
روق يا بحر العشاق
بتسافر فيكي الأشواق
روق وأوعد إنك تسعد
قلبين ضاعوا مع التيار

نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
إحنا بنصفح وإنت بتجرح
زي ما قالوا عليك دوار
زي ما قالوا عليك دوار

قرب يا مرسى البحار
للي ضاع عمره في أسفار
قرب يا مرسى البحار
للي ضاع عمره في أسفار
خليه يرسى إوعاك تنسى
إنه غريب عن أهل الدار

نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
إحنا بنصفح وإنت بتجرح
زي ما قالوا عليك دوار
زي ما قالوا عليك دوار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
إحنا بنصفح وإنت بتجرح
زي ما قالوا عليك دوار
زي ما قالوا عليك دوار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار
نور يا ليل الأسرار
يا اللي عشقناك وإحنا صغار",1980,0
Early 1980s,وقت وعشناه,"وقت وعشناه إنتي وأنا، جرح حفرناه لبقية عمرنا
دلوقتي خلاص مواعدنا خلاص بتدق خلاص أجراس حزننا
مش لاقي كلام يوصف آلام جرح الأوهام ويبارك لنا
كنا في آلام كنا في حنان وكان يا مكان كان في حبنا

فاكرة الأمل لما التقينا زي الغزل مالي علينا
فاكرة العطش لما ارتوينا كان القدر راضي علينا
لقينا في بعضنا شئ ضايع مننا وتوهنا في عالم حبنا
وغرقنا في بعضنا ونسينا وقتنا وعيون الأمل بتشدنا

دلوقتي خلاص مواعدنا خلاص بتدق خلاص أجراس حزننا
وقت وعشناه إنتي وأنا، جرح حفرناه لبقية عمرنا
يا حبيبتي وداع، مكتوبنا ضياع، غربة وآلام، مكتوب بعدنا
(ياحبيبتي وداع)
مكتوب بعدنا
(ياحبيبتي وداع)
مكتوب بعدنا
(ياحبيبتي وداع)
مكتوب بعدنا",1980,0
Early 1980s,الزمن,"الزمن بينسى دايماً، مع الزمن مفيش وعود
اللي كان عايش في قلبي، النهاردة مالوش وجود
الزمن مالهش صاحب مالهش قلب ولا مشاعر
خطوته مشوار في قلبي عشت فيه دايماً مهاجر

مع الزمن الجرح بيتنسي والذكريات الحلوة تدبل
مع الزمن بنبتدي دايماً حكاية فيها تخلص
ننسى الملامح والوجود والعناوين
يمكن نتوب عن ذكريات عاشت معانا
ضاعت في يوم من الزمن

الزمن دموع بتجري او ضحكة ما لها أي معنى
أو لعبة ملناش يد فيها مهما اتشائمنا وإتفائلنا
كنت أجبن منه دايماً عمري ما فكرت أواجهه
كنت خايف منه يمكن لو كان بشر كنت فهمته

عشرين سنة من يوم ما إتولدت أحلم معاه
يوعدني أصدق عشرين سنة مروا كأنهم سراب
وكان بيكدب كتب حكايته على الوجوه
وألم في كل ضحكة وساب علاماته الحزينة
على طريقي اللي من زمان

الزمن بينسى دايماً، مع الزمن مفيش وعود
اللي كان عايش في قلبي، النهاردة مالوش وجود
الزمن مالهش صاحب مالهش قلب ولا مشاعر
خطوته مشوار في قلبي عشت فيه دايماً مهاجر
آآآآآآه، الزمن، الزمن، مع الزمن",1980,0
Early 1980s,مصرية,"مصرية بعيون مصرية، خطوتها شابة وعصرية
الروح طرواة العصرية والقلب شمس الحنية
مصرية بعيون مصرية، خطوتها شابة وعصرية
الروح طرواة العصرية والقلب شمس الحنية
وأصيلة زي الحرية وعيونها بتقول يا عينيا
مصرية آه، مصرية آه، مصرية آه، مصرية

إنتي الطفولة اللي في دمي وأختي ساعات وساعات أمي
وإنتي الحبيبة اللي تضمي بعيون حنانك وتسمي
إنتي الأمل وإنتي الظاهرة وإنتي النهاردة عشان بكرة
إنتي الأمل وإنتي الظاهرة وإنتي النهاردة عشان بكرة
وإنتي العيون شمعة وسمرة وإنتي الجمال وإنتي التمرة

مصرية آه، مصرية آه، مصرية آه، مصرية

مطرح ما روحي تروح رايحة، ريحة الحنان بتروح فايحة
تخضر روح روحي وتصحى، وزهور حياتي تروح طارحة
ضحكتها شمس وشمسية، شقاوتها مالهاش في آسية
ضحكتها شمس وشمسية، شقاوتها مالهاش في آسية
خطوتها ثابتة وفرسية وهي شطي ومراسيا

مصرية آه، مصرية آه، مصرية آه، مصرية

الحلوة ماشية معدية، شايلة دهب والفضية
قلة وميه موردية والخد ضحكته وردية
بنت البلد يا طراوة العصر، وعصير جمال الكون والعصر
هز القلوب وإتشد يا خصر، دي الحلوة مصرية ومن مصر

مصرية آه، مصرية آه، مصرية آه، مصرية

مصرية بعيون مصرية، خطوتها شابة وعصرية
الروح طرواة العصرية والقلب شمس الحنية
مصرية بعيون مصرية، خطوتها شابة وعصرية
الروح طرواة العصرية والقلب شمس الحنية
مصرية بعيون مصرية، خطوتها شابة وعصرية
الروح طرواة العصرية والقلب شمس الحنية
مصرية بعيون مصرية، خطوتها شابة وعصرية
الروح طرواة العصرية والقلب شمس الحنية",1980,0
Early 1980s,يا خلي,"آه على اللي في قلبي
وعلى اللي في روحي منك إنت يا خلي
نسمة هواك لما بتوصلي
ما أعرفش إيه اللي بيحصلي
آه على اللي في قلبي
وعلى اللي في روحي منك إنت يا خلي
نسمة هواك لما بتوصلي
ما أعرفش إيه اللي بيحصلي

يا وردي يا فلي
يا شجري يا ضلي
آه آه، آه آه، آه آه آه آه آه آه
آه آه، آه آه، آه آه آه
آه يا خلي

أول ما شفته يا روحي
دابت جروحي وقلتله خَلي
خلي لي روحك في روحي
وروحى غني، يا روحي وهلي

يا وردي يا فلي
يا شجري يا ضلي
آه آه، آه آه، آه آه آه آه آه آه
آه آه، آه آه، آه آه آه
آه يا خلي

شمس الأصيل فتحت
صحصح دفاها وجاني وقالي
روح الحبيب فحفحت
صحيت لي عقلي وقلبي وكلي

يا وردي يا فلي
يا شجري يا ضلي
آه آه، آه آه، آه آه آه آه آه آه
آه آه، آه آه، آه آه آه آه

أنا شيلت له في العيون على كل لون من الحب وشال لي
وإزاي في يوم راح يهون الحب ويهون اللي حصل لي

يا وردي يا فلي
يا شجري يا ضلي
آه آه، آه آه، آه آه آه آه آه آه
آه آه، آه آه، آه آه آه
آه يا خلي

شجر المحبة يدوم وإحنا المحبة بعينها تملي
بحر الأسى وهموم لأجل اللي قلبه إسود وعزولي
وأنا وسط بحرك بعوم وأديك ودادي وأدادي وأحلي
مركب محبتنا دوم ويا مركب العزال ما تحلي

يا وردي يا فلي
يا شجري يا ضلي
آه آه، آه آه، آه آه آه آه آه آه
آه آه، آه آه، آه آه آه
دا يا خلي",1980,0
