Year,entropy
2023,2.5141655901348443
1991,2.5312415284902303
1996,2.487278474641652
2009,2.4950516458934864
2004,2.4961328516378973
2007,2.4752660737780214
2014,2.49924845404834
2013,2.5234978980925202
2020,2.5232229060392344
1999,2.532228173193753
1989,2.49253226592963
1988,2.4681559141657514
2005,2.4932189097927746
2003,2.486134520144109
2001,2.497843636472611
1995,2.5857822727733706
1998,2.474702088759345
2011,2.5691125224872318
2010,2.582995953403581
2018,2.52302016664921
2000,2.5933452507205423
2017,2.5344209227455314
1994,2.5089327899076155
1990,2.562664873161231
2016,2.479440516421268
1993,2.502645698177058
1992,2.4496446214229772
1987,2.431746778357411
1986,2.500034601223376
1984,2.4162790143417974
1983,2.464903890363026
